Peildatum,B58C0698_1
1985-11-14,27.61
1985-11-28,27.73
1985-12-14,27.91
1985-12-28,28.13
1986-01-13,28.32
1986-01-28,28.55
1986-02-14,28.310000000000002
1986-03-01,28.07
1986-03-14,28.12
1986-03-28,28.47
1986-04-14,28.560000000000002
1986-04-28,28.62
1986-05-14,28.46
1986-05-29,28.17
1986-07-14,27.650000000000002
1986-07-29,27.52
1986-08-14,27.27
1986-08-28,27.310000000000002
1986-09-15,27.36
1986-09-29,27.38
1986-10-13,27.330000000000002
1986-10-29,27.61
1986-11-14,27.72
1986-11-27,27.77
1986-12-14,27.85
1986-12-28,28.16
1987-01-14,28.27
1987-01-28,28.310000000000002
1987-02-14,28.36
1987-02-28,28.39
1987-03-14,28.45
1987-03-28,28.72
1987-04-13,28.51
1987-04-27,28.29
1987-05-14,28.21
1987-05-28,28.150000000000002
1987-06-14,28.25
1987-06-28,28.330000000000002
1987-07-14,27.96
1987-07-28,27.98
1987-08-14,27.89
1987-08-28,27.88
1987-09-14,27.73
1987-09-28,27.69
1987-10-14,27.86
1987-10-28,27.89
1987-11-14,27.92
1987-11-28,28.26
1987-12-28,28.22
1988-01-14,28.310000000000002
1988-01-28,28.580000000000002
1988-02-13,28.68
1988-02-27,28.57
1988-03-14,28.830000000000002
1988-03-28,28.96
1988-04-14,28.560000000000002
1988-04-28,28.37
1988-05-14,28.16
1988-05-28,28.03
1988-06-14,28.05
1988-06-28,27.84
1988-07-14,27.76
1988-07-27,28.11
1988-08-14,27.76
1988-08-30,27.650000000000002
1988-09-14,27.63
1988-09-28,27.66
1988-10-13,27.82
1988-10-27,27.900000000000002
1988-11-14,27.810000000000002
1988-11-28,27.89
1988-12-13,28.150000000000002
1989-01-14,28.490000000000002
1989-01-28,28.21
1989-02-14,28.21
1989-02-28,28.27
1989-03-14,28.46
1989-03-28,28.48
1989-04-14,28.36
1989-04-28,28.57
1989-05-14,28.21
1989-05-28,27.830000000000002
1989-06-14,27.73
1989-06-28,27.46
1989-07-14,27.35
1989-07-28,27.21
1989-08-14,27.13
1989-08-28,27.05
1989-09-13,27.14
1989-09-27,27.2
1989-10-14,27.29
1989-10-28,27.36
1989-11-14,27.46
1989-11-28,27.43
1989-12-14,27.52
1990-01-14,27.76
1990-01-28,28.0
1990-02-14,28.14
1990-03-13,28.310000000000002
1990-03-27,28.2
1990-04-14,28.04
1990-05-14,27.84
1990-05-28,27.62
1990-06-14,27.63
1990-06-28,27.48
1990-07-14,27.45
1990-07-28,27.21
1990-08-13,26.98
1990-08-28,26.92
1990-09-14,27.16
1990-09-28,27.14
1990-10-14,27.13
1990-11-14,27.330000000000002
1990-11-28,27.51
1990-12-14,27.63
1991-01-14,28.240000000000002
1991-01-28,28.18
1991-02-14,27.96
1991-02-28,28.12
1991-03-14,28.1
1991-04-14,27.89
1991-04-27,27.89
1991-05-28,27.69
1991-06-14,27.54
1991-06-28,27.560000000000002
1991-07-28,27.26
1991-08-14,27.04
1991-08-28,26.900000000000002
1991-09-13,26.79
1991-09-29,26.95
1991-10-14,26.96
1991-10-28,27.0
1991-11-14,27.39
1991-11-28,27.560000000000002
1991-12-14,27.59
1991-12-28,27.95
1992-01-14,28.01
1992-01-28,27.94
1992-02-15,28.060000000000002
1992-02-29,28.03
1992-03-14,28.04
1992-03-27,28.1
1992-04-13,28.02
1992-04-28,28.07
1992-05-13,28.01
1992-05-28,27.71
1992-06-14,27.86
1992-06-28,27.61
1992-07-13,27.36
1992-07-27,27.21
1992-08-14,27.16
1992-08-27,27.21
1992-09-13,27.54
1992-09-27,27.42
1992-10-15,27.41
1992-10-28,27.53
1992-11-13,27.62
1992-11-27,27.89
1992-12-14,28.16
1992-12-29,28.18
1993-01-14,28.41
1993-01-28,28.52
1993-02-15,28.32
1993-02-27,28.38
1993-03-14,28.26
1993-04-14,28.080000000000002
1993-04-27,27.990000000000002
1993-05-14,28.01
1993-05-29,27.84
1993-06-14,27.59
1993-06-28,27.45
1993-07-13,27.23
1993-07-28,27.490000000000002
1993-08-14,27.41
1993-08-28,27.26
1993-09-14,27.36
1993-09-27,27.830000000000002
1993-10-13,27.96
1993-10-28,28.02
1993-11-15,28.01
1993-11-29,27.990000000000002
1993-12-13,28.240000000000002
1993-12-29,28.59
1994-01-13,28.7
1994-01-27,28.8
1994-02-15,28.5
1994-02-28,28.46
1994-03-14,28.47
1994-03-28,28.59
1994-04-14,28.66
1994-04-29,28.37
1994-05-13,28.23
1994-05-28,28.17
1994-06-15,28.16
1994-06-28,27.810000000000002
1994-07-14,27.580000000000002
1994-07-27,27.330000000000002
1994-08-15,27.19
1994-08-27,27.310000000000002
1994-09-15,27.39
1994-09-29,27.67
1994-10-14,27.73
1994-10-28,27.64
1994-11-14,27.87
1994-11-28,27.92
1994-12-13,28.04
1994-12-29,28.22
1995-01-13,28.310000000000002
1995-01-27,28.560000000000002
1995-02-14,28.7
1995-02-28,28.8
1995-03-13,28.6
1995-03-28,28.650000000000002
1995-04-13,28.51
1995-04-27,28.45
1995-05-15,28.04
1995-05-29,28.12
1995-06-28,27.91
1995-07-14,27.57
1995-07-29,27.29
1995-09-13,27.12
1995-09-27,27.2
1995-10-13,27.330000000000002
1995-10-27,27.310000000000002
1995-11-14,27.35
1995-11-27,27.400000000000002
1995-12-14,27.400000000000002
1995-12-28,27.59
1996-01-15,27.6
1996-01-29,27.59
1996-02-14,27.51
1996-02-29,27.71
1996-03-14,27.75
1996-03-28,27.740000000000002
1996-04-13,27.650000000000002
1996-04-28,27.55
1996-05-14,27.48
1996-06-15,27.04
1996-07-27,26.71
1996-08-14,26.87
1996-08-29,27.14
1996-09-13,27.5
1996-09-27,27.39
1996-10-14,27.51
1996-10-28,27.52
1996-11-15,27.75
1996-11-28,27.89
1996-12-14,28.07
1996-12-28,28.05
1997-01-14,27.82
1997-02-14,28.21
1997-02-28,28.34
1997-03-13,28.2
1997-03-27,28.19
1997-04-14,28.060000000000002
1997-05-14,28.14
1997-05-28,28.09
1997-06-13,27.810000000000002
1997-06-27,27.76
1997-07-29,27.71
1997-08-14,27.37
1997-08-27,27.26
1997-09-15,27.310000000000002
1997-09-29,27.21
1997-10-14,27.38
1997-10-29,27.44
1997-11-13,27.46
1997-11-27,27.400000000000002
1997-12-14,27.59
1998-01-14,28.02
1998-01-28,28.01
1998-02-14,27.990000000000002
1998-02-28,27.98
1998-03-14,28.28
1998-03-28,28.19
1998-04-14,28.330000000000002
1998-04-28,28.34
1998-05-14,28.01
1998-05-28,27.93
1998-06-15,28.35
1998-06-29,28.19
1998-07-15,28.1
1998-07-28,27.91
1998-08-13,27.62
1998-08-28,27.61
1998-09-14,28.12
1998-09-28,28.14
1998-10-14,28.25
1998-10-29,28.48
1998-11-15,28.7
1998-11-29,28.66
1998-12-14,28.740000000000002
1998-12-29,28.71
1999-01-14,28.78
1999-01-29,28.76
1999-02-15,28.87
1999-02-28,28.89
1999-03-15,28.64
1999-03-27,28.69
1999-04-15,28.580000000000002
1999-04-28,28.36
1999-05-14,28.36
1999-05-28,27.91
1999-06-14,27.810000000000002
1999-06-28,27.63
1999-07-14,27.63
1999-07-28,27.3
1999-09-14,27.25
1999-09-29,27.3
1999-10-14,27.36
1999-10-27,27.3
1999-11-28,27.47
1999-12-14,27.73
1999-12-28,28.04
2000-01-14,28.07
2000-01-28,28.11
2000-02-14,28.240000000000002
2000-02-28,28.39
2000-03-14,28.47
2000-03-28,28.37
2000-04-14,28.240000000000002
2000-04-28,28.150000000000002
2000-05-14,27.97
2000-05-28,27.96
2000-06-14,27.830000000000002
2000-07-14,27.77
2000-07-28,27.830000000000002
2000-08-14,27.57
2000-08-28,27.490000000000002
2000-09-14,27.52
2000-09-28,27.55
2000-10-14,27.67
2000-10-28,27.8
2000-11-14,27.92
2000-11-28,28.09
2000-12-14,28.2
2000-12-28,28.07
2001-01-14,
2001-01-28,28.35
2001-02-14,28.46
2001-02-28,28.51
2001-03-14,28.5
2001-04-14,28.5
2001-04-28,28.62
2001-05-14,28.310000000000002
2001-05-28,28.080000000000002
2001-06-14,27.87
2001-07-14,27.39
2001-07-28,27.29
2001-08-14,27.32
2001-08-28,27.12
2001-09-14,27.900000000000002
2001-09-28,27.7
2001-10-14,27.76
2001-10-28,27.79
2001-11-14,27.87
2001-11-28,28.01
2001-12-14,28.09
2002-01-14,28.21
2002-01-28,28.47
2002-03-14,28.650000000000002
2002-03-28,28.53
2002-04-14,28.29
2002-04-28,28.37
2002-05-14,28.27
2002-06-14,27.98
2002-07-14,27.93
2002-07-28,27.82
